종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","2055","-35","-1.67","104978939310"
"054620","APS","KOSDAQ","금융","6240","30","0.48","124139939040"
"265520","AP시스템","KOSDAQ","기계·장비","17210","-100","-0.58","262993255410"
"211270","AP위성","KOSDAQ","운송장비·부품","10090","-70","-0.69","152180447360"
"109960","AP헬스케어","KOSDAQ","유통","535","-8","-1.47","61071945415"
"139050","BF랩스","KOSDAQ","일반서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","3350","-30","-0.89","210269111650"
"013720","CBI","KOSDAQ","운송장비·부품","1096","17","1.58","48912437056"
"083790","CG인바이츠","KOSDAQ","일반서비스","2455","10","0.41","188775216810"
"035760","CJ ENM","KOSDAQ","일반서비스","61300","-600","-0.97","1344257140200"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","11210","-290","-2.52","102151147420"
"051500","CJ프레시웨이","KOSDAQ","유통","18050","-30","-0.17","214282127300"
"058820","CMG제약","KOSDAQ","제약","2075","-20","-0.95","288201406300"
"023460","CNH","KOSDAQ","금융","208","-24","-10.34","7737600000"
"056730","CNT85","KOSDAQ","건설","823","-4","-0.48","60993506078"
"065770","CS","KOSDAQ","전기·전자","979","-8","-0.81","19003496270"
"083660","CSA 코스믹","KOSDAQ","화학","830","25","3.11","50835160230"
"456440","DB금융스팩11호","KOSDAQ","금융","2275","0","0.00","12091625000"
"477760","DB금융스팩12호","KOSDAQ","금융","2095","10","0.48","12234800000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"060900","DGP","KOSDAQ","전기·가스·수도","1184","-16","-1.33","29905743136"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2570","-25","-0.96","39873904660"
"025440","DH오토웨어","KOSDAQ","전기·전자","239","4","1.70","36783562680"
"068790","DMS","KOSDAQ","기계·장비","5300","-100","-1.85","130237223300"
"241520","DSC인베스트먼트","KOSDAQ","금융","2830","-5","-0.18","77814033750"
"180400","DXVX","KOSDAQ","일반서비스","2315","-80","-3.34","113942985080"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","6900","-120","-1.71","59512306800"
"050120","ES큐브","KOSDAQ","유통","1769","6","0.34","23994868134"
"214270","FSN","KOSDAQ","출판·매체복제","2270","45","2.02","75478551010"
"130500","GH신소재","KOSDAQ","섬유·의류","2980","-35","-1.16","43344254960"
"900290","GRT","KOSDAQ","금융","4270","-580","-11.96","287691250000"
"083450","GST","KOSDAQ","기계·장비","14860","-400","-2.62","276667343600"
"297890","HB솔루션","KOSDAQ","기계·장비","3715","-5","-0.13","271718495510"
"440290","HB인베스트먼트","KOSDAQ","금융","1845","-33","-1.76","50012433450"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2275","-20","-0.87","210928708900"
"195940","HK이노엔","KOSDAQ","제약","46450","-150","-0.32","1315923436950"
"028300","HLB","KOSDAQ","제약","65300","-200","-0.31","8562608510800"
"278650","HLB바이오스텝","KOSDAQ","일반서비스","2135","-30","-1.39","185169807515"
"067630","HLB생명과학","KOSDAQ","제약","8800","50","0.57","1044377584800"
"024850","HLB이노베이션","KOSDAQ","전기·전자","3940","60","1.55","359431495920"
"047920","HLB제약","KOSDAQ","일반서비스","19490","50","0.26","619781883060"
"115450","HLB테라퓨틱스","KOSDAQ","유통","8940","-70","-0.78","716451001020"
"046210","HLB파나진","KOSDAQ","의료·정밀기기","2900","0","0.00","122881929100"
"403870","HPSP","KOSDAQ","기계·장비","30450","-150","-0.49","2525344684800"
"036640","HRS","KOSDAQ","화학","5080","-120","-2.31","83082384000"
"439730","IBKS제20호스팩","KOSDAQ","금융","2170","-25","-1.14","9352700000"
"442770","IBKS제21호스팩","KOSDAQ","금융","2185","-15","-0.68","9198850000"
"448760","IBKS제22호스팩","KOSDAQ","금융","2200","10","0.46","9746000000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2170","-20","-0.91","9179100000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2190","-5","-0.23","9263700000"
"095340","ISC","KOSDAQ","유통","63900","3000","4.93","1354492006200"
"950170","JTC","KOSDAQ","유통","3980","-15","-0.38","205950465040"
"067290","JW신약","KOSDAQ","제약","1410","13","0.93","71686517820"
"035900","JYP Ent.","KOSDAQ","오락·문화","50900","-300","-0.59","1808603842800"
"318000","KBG","KOSDAQ","화학","5520","-90","-1.60","48246030960"
"024840","KBI메탈","KOSDAQ","금속","2675","-25","-0.93","93382107325"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3635","-10","-0.27","41802500000"
"455250","KB제25호스팩","KOSDAQ","금융","2640","0","0.00","11365200000"
"458320","KB제26호스팩","KOSDAQ","금융","2230","-75","-3.25","12276150000"
"464680","KB제27호스팩","KOSDAQ","금융","1994","-2","-0.10","25732570000"
"476470","KB제28호스팩","KOSDAQ","금융","2100","0","0.00","11560500000"
"478390","KB제29호스팩","KOSDAQ","금융","2045","-15","-0.73","12719900000"
"486630","KB제30호스팩","KOSDAQ","금융","2020","0","0.00","10726200000"
"021320","KCC건설","KOSDAQ","건설","4260","-25","-0.58","91164000000"
"036670","KCI","KOSDAQ","화학","7480","0","0.00","84299600000"
"044180","KD","KOSDAQ","건설","452","-3","-0.66","12076445148"
"046440","KG모빌리언스","KOSDAQ","출판·매체복제","4395","-5","-0.11","170638371360"
"151860","KG에코솔루션","KOSDAQ","화학","5170","-40","-0.77","256447520340"
"035600","KG이니시스","KOSDAQ","출판·매체복제","9120","-150","-1.62","254488438080"
"226360","KH 건설","KOSDAQ","건설","2555","0","0.00","60698450260"
"111870","KH 미래물산","KOSDAQ","전기·전자","8910","0","0.00","43928518590"
"060720","KH바텍","KOSDAQ","전기·전자","8780","-30","-0.34","207887940760"
"058400","KNN","KOSDAQ","일반서비스","789","31","4.09","104487049080"
"101000","KS인더스트리","KOSDAQ","기계·장비","2220","20","0.91","66932154180"
"122450","KX","KOSDAQ","일반서비스","3555","0","0.00","161169352020"
"052900","KX하이텍","KOSDAQ","화학","959","-20","-2.04","52848108803"
"376190","LB루셈","KOSDAQ","전기·전자","4745","-295","-5.85","116727000000"
"061970","LB세미콘","KOSDAQ","전기·전자","4375","-45","-1.02","191557590000"
"309960","LB인베스트먼트","KOSDAQ","금융","3840","-45","-1.16","89154197760"
"225190","LK삼양","KOSDAQ","의료·정밀기기","2545","40","1.60","129154779800"
"060370","LS마린솔루션","KOSDAQ","건설","15320","-330","-2.11","439787884920"
"417200","LS머트리얼즈","KOSDAQ","전기·전자","15200","-100","-0.65","1028320416800"
"078020","LS증권","KOSDAQ","금융","4400","-10","-0.23","244117236000"
"476080","M83","KOSDAQ","오락·문화","12680","-320","-2.46","98713800000"
"086960","MDS테크","KOSDAQ","출판·매체복제","1042","4","0.39","96720303096"
"038340","MIT","KOSDAQ","전기·전자","1233","0","0.00","39979891836"
"160550","NEW","KOSDAQ","오락·문화","2300","-75","-3.16","64184043800"
"053290","NE능률","KOSDAQ","출판·매체복제","3460","-40","-1.14","57181022220"
"060250","NHN KCP","KOSDAQ","금융","7030","-210","-2.90","282329095330"
"104200","NHN벅스","KOSDAQ","출판·매체복제","3430","-90","-2.56","50858496500"
"222160","NPX","KOSDAQ","기계·장비","8040","0","0.00","79551289560"
"024940","PN풍년","KOSDAQ","유통","6220","230","3.84","62200000000"
"218410","RFHIC","KOSDAQ","전기·전자","14380","-250","-1.71","380846275960"
"327260","RF머트리얼즈","KOSDAQ","기타제조","6680","-40","-0.60","56333983080"
"091340","S&K폴리텍","KOSDAQ","전기·전자","2505","75","3.09","29317821105"
"419530","SAMG엔터","KOSDAQ","오락·문화","12880","-420","-3.16","110651178400"
"019550","SBI인베스트먼트","KOSDAQ","금융","647","-23","-3.43","104857074025"
"950110","SBI핀테크솔루션즈","KOSDAQ","출판·매체복제","2905","35","1.22","69872628700"
"036120","SCI평가정보","KOSDAQ","일반서비스","2240","-80","-3.45","79520000000"
"246960","SCL사이언스","KOSDAQ","제약","8700","0","0.00","63365588700"
"099220","SDN","KOSDAQ","유통","1214","4","0.33","68192578554"
"036540","SFA반도체","KOSDAQ","전기·전자","3495","-35","-0.99","574788758985"
"255220","SG","KOSDAQ","비금속","2985","55","1.88","280810266135"
"040610","SG&G","KOSDAQ","운송·창고","1548","3","0.19","52766979408"
"049470","SGA","KOSDAQ","출판·매체복제","322","-3","-0.92","18953644178"
"184230","SGA솔루션즈","KOSDAQ","출판·매체복제","498","-1","-0.20","31174382178"
"016250","SGC E&C","KOSDAQ","건설","15520","20","0.13","50340439200"
"048550","SM C&C","KOSDAQ","일반서비스","1680","-13","-0.77","162480561600"
"063440","SM Life Design","KOSDAQ","출판·매체복제","1357","-13","-0.95","62461561978"
"067160","SOOP","KOSDAQ","출판·매체복제","88900","-800","-0.89","1021884786300"
"289080","SV인베스트먼트","KOSDAQ","금융","1567","-16","-1.01","83417678000"
"089230","THE E&M","KOSDAQ","일반서비스","1289","-6","-0.46","28207126417"
"032540","TJ미디어","KOSDAQ","전기·전자","5240","-10","-0.19","73001631160"
"022220","TKG애강","KOSDAQ","화학","1010","-42","-3.99","52312524790"
"048770","TPC","KOSDAQ","기계·장비","2350","-40","-1.67","36890278850"
"246690","TS인베스트먼트","KOSDAQ","금융","989","-14","-1.40","41021605518"
"317240","TS트릴리온","KOSDAQ","화학","279","0","0.00","29920217238"
"057030","YBM넷","KOSDAQ","일반서비스","3505","-140","-3.84","57176002985"
"040300","YTN","KOSDAQ","오락·문화","3070","-45","-1.44","128940000000"
"051390","YW","KOSDAQ","유통","3690","-70","-1.86","41901307920"
"052220","iMBC","KOSDAQ","오락·문화","2450","-80","-3.16","56350000000"
"079940","가비아","KOSDAQ","출판·매체복제","13100","0","0.00","177317460400"
"078890","가온그룹","KOSDAQ","전기·전자","3560","0","0.00","61980158920"
"399720","가온칩스","KOSDAQ","전기·전자","36850","-450","-1.21","423344592000"
"036620","감성코퍼레이션","KOSDAQ","유통","3695","75","2.07","335302375940"
"198440","강동씨앤엘","KOSDAQ","비금속","1446","-36","-2.43","88107521616"
"217730","강스템바이오텍","KOSDAQ","제약","2135","5","0.23","119675608115"
"114190","강원에너지","KOSDAQ","전기·전자","12430","90","0.73","324709362340"
"094480","갤럭시아머니트리","KOSDAQ","출판·매체복제","8020","80","1.01","314623300760"
"039240","경남스틸","KOSDAQ","금속","2815","20","0.72","75947585260"
"053950","경남제약","KOSDAQ","제약","643","-15","-2.28","22886557486"
"011040","경동제약","KOSDAQ","제약","6300","-30","-0.47","193843225800"
"024910","경창산업","KOSDAQ","운송장비·부품","2210","-20","-0.90","79160001050"
"049720","고려신용정보","KOSDAQ","일반서비스","9940","-20","-0.20","142142000000"
"014570","고려제약","KOSDAQ","제약","4805","-30","-0.62","52855000000"
"348150","고바이오랩","KOSDAQ","일반서비스","7050","-120","-1.67","136585642500"
"950190","고스트스튜디오","KOSDAQ","출판·매체복제","10240","50","0.49","139058094080"
"098460","고영","KOSDAQ","기계·장비","9850","130","1.34","676249336750"
"035290","골드앤에스","KOSDAQ","출판·매체복제","441","0","0.00","21025327680"
"900280","골든센츄리","KOSDAQ","금융","97","0","0.00","19924215936"
"215000","골프존","KOSDAQ","출판·매체복제","66600","0","0.00","417942639000"
"121440","골프존뉴딘홀딩스","KOSDAQ","유통","3835","-5","-0.13","164279197030"
"366030","공구우먼","KOSDAQ","섬유·의류","4200","-95","-2.21","95146170000"
"014200","광림","KOSDAQ","운송장비·부품","30200","0","0.00","91311391200"
"029480","광무","KOSDAQ","전기·전자","3705","-135","-3.52","203808652515"
"026910","광진실업","KOSDAQ","금속","2195","-20","-0.90","14059863975"
"421800","교보12호스팩","KOSDAQ","금융","2710","0","0.00","16205800000"
"440790","교보13호스팩","KOSDAQ","금융","2190","10","0.46","8869500000"
"456490","교보14호스팩","KOSDAQ","금융","2145","-20","-0.92","9009000000"
"465320","교보15호스팩","KOSDAQ","금융","2160","5","0.23","8229600000"
"482520","교보16호스팩","KOSDAQ","금융","2050","-5","-0.24","12505000000"
"053270","구영테크","KOSDAQ","운송장비·부품","2215","-40","-1.77","60714047075"
"066620","국보디자인","KOSDAQ","건설","16570","270","1.66","124275000000"
"043650","국순당","KOSDAQ","음식료·담배","5040","95","1.92","90005852160"
"006050","국영지앤엠","KOSDAQ","비금속","1845","-29","-1.55","64381723335"
"060480","국일신동","KOSDAQ","금속","1931","1","0.05","21414790000"
"078130","국일제지","KOSDAQ","종이·목재","800","0","0.00","901924696800"
"307750","국전약품","KOSDAQ","제약","4155","-150","-3.48","203882812695"
"035080","그래디언트","KOSDAQ","유통","11000","-210","-1.87","159803424000"
"453450","그리드위즈","KOSDAQ","일반서비스","19360","-440","-2.22","153771640000"
"204020","그리티","KOSDAQ","섬유·의류","2790","10","0.36","56211329700"
"402490","그린리소스","KOSDAQ","전기·전자","15870","-10","-0.06","131180531280"
"114450","그린생명과학","KOSDAQ","제약","2030","-40","-1.93","40600000000"
"186230","그린플러스","KOSDAQ","금속","8800","-330","-3.61","95217654400"
"900070","글로벌에스엠","KOSDAQ","금융","429","-1","-0.23","23056162272"
"204620","글로벌텍스프리","KOSDAQ","금융","3890","25","0.65","237741376150"
"019660","글로본","KOSDAQ","유통","540","-8","-1.46","18787002840"
"053260","금강철강","KOSDAQ","금속","4640","-115","-2.42","86860800000"
"282720","금양그린파워","KOSDAQ","건설","10210","0","0.00","123740095000"
"036190","금화피에스시","KOSDAQ","건설","27250","-100","-0.37","163500000000"
"049080","기가레인","KOSDAQ","전기·전자","671","-21","-3.03","56956725837"
"420770","기가비스","KOSDAQ","기계·장비","36600","-650","-1.74","463932742800"
"035460","기산텔레콤","KOSDAQ","전기·전자","1839","-11","-0.59","26807728260"
"308100","까스텔바작","KOSDAQ","유통","3065","-85","-2.70","20304806645"
"407400","꿈비","KOSDAQ","기타제조","5820","-150","-2.51","71350138680"
"187790","나노","KOSDAQ","화학","1025","0","0.00","31611850750"
"286750","나노브릭","KOSDAQ","화학","2400","-55","-2.24","49666941600"
"121600","나노신소재","KOSDAQ","화학","84800","800","0.95","1034227414400"
"247660","나노씨엠에스","KOSDAQ","전기·전자","8010","-10","-0.12","34794799200"
"039860","나노엔텍","KOSDAQ","의료·정밀기기","4255","-230","-5.13","136628398910"
"091970","나노캠텍","KOSDAQ","화학","620","-9","-1.43","23198845660"
"417010","나노팀","KOSDAQ","기계·장비","9360","-340","-3.51","184619710080"
"405920","나라셀라","KOSDAQ","유통","3680","-70","-1.87","47391319680"
"051490","나라엠앤디","KOSDAQ","기계·장비","4900","-310","-5.95","69580000000"
"137080","나래나노텍","KOSDAQ","기계·장비","3150","-180","-5.41","34837179300"
"190510","나무가","KOSDAQ","전기·전자","11680","-210","-1.77","189968005120"
"242040","나무기술","KOSDAQ","출판·매체복제","1744","-1","-0.06","60353324416"
